Estrato,Estadillo,Cla,Subclase,Especie,CD,NPies,ABas,VCC,VSC,IAVC,VLE,BA,BR,CA,CR,Proceso,Provincia
"11","1104","A","1","055",65,5.092962480782025,1.737124,7.193531921243146,6.056185076511588,0.1210893859219901,1.729054470347205,15.76296341314266,7.94027885242823,7.881481706571332,3.970139426214115,"45","45"
"06","1107","A","1","043",10,381.9721860586518,2.095525,4.910980687306046,1.899695339826519,0.2201908773497944,0.8433553578359502,7.246091155078325,3.815393797408318,3.623045577539163,1.907696898704159,"45","45"
"06","1107","A","1","043",15,190.9860930293259,3.465362499999999,11.83997954057267,8.333304734944857,0.3329697267960117,1.64294293445466,13.95226395720191,6.309503627144217,6.976131978600955,3.154751813572108,"45","45"
"06","1107","A","1","043",20,159.1550775244383,4.8131375,21.44648170604948,15.3910463435556,0.4365886855683724,2.438243924329175,22.98579878460335,8.763443511088333,11.49289939230168,4.381721755544167,"45","45"
"06","1107","A","1","043",25,84.88270801303374,4.107583333333333,19.06999847817322,14.04724529212544,0.3446929333269863,2.219857780504686,21.66766256519853,7.478816989698422,10.83383128259926,3.739408494849211,"45","45"
"06","1107","A","1","043",30,42.44135400651687,2.938280555555555,13.17274380304807,9.925048530937872,0.2284007308361884,1.666392995947026,15.36657473062425,5.34982756431545,7.683287365312123,2.674913782157725,"45","45"
"06","1107","A","1","043",35,14.14711800217229,1.250669444444445,7.444122544784785,5.664221230069994,0.09122143807759363,0.732694000295682,8.656503933689608,2.277136488918738,4.328251966844804,1.138568244459369,"45","45"
"06","1107","A","1","043",45,10.18592496156405,1.597165,6.594819665403901,5.33229824054426,0.09365736418904462,1.011724034981713,9.639978588931085,2.908012757871014,4.819989294465542,1.454006378935507,"45","45"
"06","1107","A","1","043",50,5.092962480782025,1.050625,5.052139937399645,4.105517855206694,0.05278772147845321,0.6907842593658331,5.999367676876997,1.912908750027852,2.999683838438498,0.9564543750139261,"45","45"
"02","1108","A","1","045",10,127.3240620195506,0.7482249999999999,1.243398082707404,0.2290663896448051,0.07763575932929723,0.3793211160072547,3.001864629057261,2.419782976136288,1.50093231452863,1.209891488068144,"45","45"
